"Date","FromCurrencyId","ToCurrencyId","ToCurrencySysname","EuroRate"
2024-10-12,2,11,BRL,0.1642414
2024-10-12,2,12,PEN,0.2488000
2024-10-12,2,13,CLP,0.0009852
2024-10-12,2,14,INR,0.0108746
2024-10-12,2,15,NZD,0.5573825
2024-10-12,2,16,ALL,0.0094000
2024-10-12,2,17,COP,0.0002000
2024-10-11,2,1,USD,0.9142439
2024-10-11,2,2,EUR,1.0000000
2024-10-11,2,3,GBP,1.1946718
2024-10-11,2,4,JPY,0.0061372
2024-10-11,2,5,AUD,0.6160291
2024-10-11,2,6,MXN,0.0470907
2024-10-11,2,7,SEK,0.0880747
2024-10-11,2,8,NOK,0.0851840
2024-10-11,2,9,HUF,0.0024947
2024-10-11,2,10,CAD,0.6638784
2024-10-11,2,11,BRL,0.1642414
2024-10-11,2,12,PEN,0.2488000
2024-10-11,2,13,CLP,0.0009852
2024-10-11,2,14,INR,0.0108746
2024-10-11,2,15,NZD,0.5573825
2024-10-11,2,16,ALL,0.0094000
2024-10-11,2,17,COP,0.0002000
2024-10-10,2,1,USD,0.9147457
2024-10-10,2,2,EUR,1.0000000
2024-10-10,2,3,GBP,1.1949430
2024-10-10,2,4,JPY,0.0061406
2024-10-10,2,5,AUD,0.6144016
2024-10-10,2,6,MXN,0.0469951
2024-10-10,2,7,SEK,0.0879856
2024-10-10,2,8,NOK,0.0848033
2024-10-10,2,9,HUF,0.0024975
2024-10-10,2,10,CAD,0.6652917
2024-10-10,2,11,BRL,0.1637707
2024-10-10,2,12,PEN,0.2488000
2024-10-10,2,13,CLP,0.0009781
2024-10-10,2,14,INR,0.0108934
2024-10-10,2,15,NZD,0.5556173
2024-10-10,2,16,ALL,0.0094000
2024-10-10,2,17,COP,0.0002000
2024-10-09,2,1,USD,0.9126586
2024-10-09,2,2,EUR,1.0000000
2024-10-09,2,3,GBP,1.1941724
2024-10-09,2,4,JPY,0.0061361
2024-10-09,2,5,AUD,0.6141374
2024-10-09,2,6,MXN,0.0471885
2024-10-09,2,7,SEK,0.0880127
2024-10-09,2,8,NOK,0.0848464
2024-10-09,2,9,HUF,0.0025006
2024-10-09,2,10,CAD,0.6673340
2024-10-09,2,11,BRL,0.1646280
2024-10-09,2,12,PEN,0.2488000
2024-10-09,2,13,CLP,0.0009781
2024-10-09,2,14,INR,0.0108696
2024-10-09,2,15,NZD,0.5543852
2024-10-09,2,16,ALL,0.0094000
2024-10-09,2,17,COP,0.0002000
2024-10-08,2,1,USD,0.9105810
2024-10-08,2,2,EUR,1.0000000
2024-10-08,2,3,GBP,1.1936308
2024-10-08,2,4,JPY,0.0061542
2024-10-08,2,5,AUD,0.6137605
2024-10-08,2,6,MXN,0.0473075
2024-10-08,2,7,SEK,0.0881135
2024-10-08,2,8,NOK,0.0855652
2024-10-08,2,9,HUF,0.0024966
2024-10-08,2,10,CAD,0.6675122
2024-10-08,2,11,BRL,0.1652128
2024-10-08,2,12,PEN,0.2488000
2024-10-08,2,13,CLP,0.0009908
2024-10-08,2,14,INR,0.0108452
2024-10-08,2,15,NZD,0.5576312
2024-10-08,2,16,ALL,0.0094000
2024-10-08,2,17,COP,0.0002000
2024-10-07,2,1,USD,0.9105810
2024-10-07,2,2,EUR,1.0000000
2024-10-07,2,3,GBP,1.1916395
2024-10-07,2,4,JPY,0.0061489
2024-10-07,2,5,AUD,0.6190034
2024-10-07,2,6,MXN,0.0471178
2024-10-07,2,7,SEK,0.0879817
2024-10-07,2,8,NOK,0.0857927
2024-10-07,2,9,HUF,0.0024871
2024-10-07,2,10,CAD,0.6705109
2024-10-07,2,11,BRL,0.1674481
2024-10-07,2,12,PEN,0.2488000
2024-10-07,2,13,CLP,0.0009908
2024-10-07,2,14,INR,0.0108406
2024-10-07,2,15,NZD,0.5603183
2024-10-07,2,16,ALL,0.0094000
2024-10-07,2,17,COP,0.0002000
2024-10-06,2,1,USD,0.9067005
2024-10-06,2,2,EUR,1.0000000
2024-10-06,2,3,GBP,1.1942437
2024-10-06,2,4,JPY,0.0061847
2024-10-06,2,5,AUD,0.6203089
2024-10-06,2,6,MXN,0.0470172
2024-10-06,2,7,SEK,0.0882029
2024-10-06,2,8,NOK,0.0855835
2024-10-06,2,9,HUF,0.0024917
2024-10-06,2,10,CAD,0.6688068
2024-10-06,2,11,BRL,0.1650982
2024-10-06,2,12,PEN,0.2488000
2024-10-06,2,13,CLP,0.0009908
2024-10-06,2,14,INR,0.0107980
2024-10-06,2,15,NZD,0.5624613
2024-10-06,2,16,ALL,0.0094000
2024-10-06,2,17,COP,0.0002000
2024-10-05,2,1,USD,0.9067005
2024-10-05,2,2,EUR,1.0000000
2024-10-05,2,3,GBP,1.1942437
2024-10-05,2,4,JPY,0.0061847
2024-10-05,2,5,AUD,0.6203089
